Date,ABBN.VX,ADEN.VX,BAER.VX,CFR.VX,CSGN.VX,GEBN.VX,GIVN.VX,LHN.VX,LONN.VX,NESN.VX,NOVN.VX,ROG.VX,SCMN.VX,SGSN.VX,SIK.VX,SLHN.VX,SREN.VX,UBSG.VX,UHR.VX,ZURN.VX
2017-06-07,23.524944305419922,67.19287109375,49.77000045776367,77.8109130859375,13.05276870727539,441.21368408203125,1907.19921875,56.0,200.10000610351562,80.25647735595703,75.7588882446289,239.463623046875,439.0994873046875,2310.0,,320.1000061035156,82.9909896850586,14.832133293151855,366.3999938964844,267.7052001953125
2017-06-08,23.611787796020508,68.02815246582031,49.900001525878906,77.37020111083984,13.013364791870117,437.8970031738281,1900.3878173828125,56.29999923706055,199.3000030517578,78.46330261230469,75.71065521240234,238.5,437.85992431640625,2299.0,,319.0,82.70629119873047,14.71700668334961,358.3999938964844,267.79986572265625
2017-06-09,23.717931747436523,67.98174285888672,50.0,77.66401672363281,13.230090141296387,439.3602600097656,1913.03759765625,57.0,203.1999969482422,78.46330261230469,76.0,238.78909301757812,437.2878112792969,2320.0,,322.8999938964844,82.80119323730469,14.86091423034668,362.29998779296875,269.693115234375
2017-06-12,23.380205154418945,67.5641098022461,49.4900016784668,76.92948913574219,13.111876487731934,434.87298583984375,1901.36083984375,56.70000076293945,197.3000030517578,78.07559204101562,75.32486724853516,240.5236358642578,436.2389221191406,2295.0,,322.70001220703125,83.5604019165039,14.841727256774902,360.5,269.1251220703125
2017-06-13,23.573192596435547,68.4921875,50.849998474121094,78.05575561523438,13.121726989746094,436.3362121582031,1922.7681884765625,56.79999923706055,198.10000610351562,78.26944732666016,76.0,241.58363342285156,437.0017395019531,2319.0,,325.1000061035156,83.5604019165039,15.110355377197266,368.0,270.9237365722656
2017-06-14,23.505647659301758,68.2137680053711,50.54999923706055,77.8598861694336,12.983811378479004,438.87249755859375,1935.41796875,56.54999923706055,200.1999969482422,78.17252349853516,75.7588882446289,241.0054473876953,438.9087829589844,2344.0,,325.6000061035156,83.79765319824219,14.966447830200195,368.70001220703125,271.58636474609375
2017-06-15,23.389854431152344,68.39937591552734,51.04999923706055,77.95782470703125,12.845894813537598,439.55535888671875,1914.9837646484375,55.79999923706055,198.1999969482422,78.51176452636719,75.66242980957031,242.739990234375,435.285400390625,2351.0,,324.29998779296875,82.9909896850586,14.99522876739502,363.5,270.6397399902344
2017-06-16,23.640737533569336,69.0954360961914,51.75,78.447509765625,12.96410846710205,448.2372131347656,1921.795166015625,56.349998474121094,202.60000610351562,80.88650512695312,75.32486724853516,244.95635986328125,444.24853515625,2389.0,,330.1000061035156,83.75019836425781,15.139137268066406,364.6000061035156,274.14227294921875
2017-06-19,23.901268005371094,69.69868469238281,51.54999923706055,79.18203735351562,13.40740966796875,452.62689208984375,1946.1217041015625,56.54999923706055,204.6999969482422,80.88650512695312,76.38578033447266,246.20909118652344,445.7742004394531,2402.0,,332.20001220703125,84.93646240234375,15.206295013427734,372.8999938964844,276.4141540527344
2017-06-20,23.631086349487305,69.23464965820312,51.20000076293945,78.74131774902344,13.259642601013184,450.87103271484375,1939.310302734375,55.75,204.1999969482422,81.41960906982422,76.96446990966797,243.8963623046875,445.4881591796875,2387.0,,334.29998779296875,85.74312591552734,15.043198585510254,370.6000061035156,276.887451171875
2017-06-21,23.74687957763672,69.04903411865234,50.95000076293945,78.49647521972656,13.299047470092773,450.18817138671875,1942.2294921875,55.75,206.3000030517578,80.25647735595703,77.01268768310547,243.2218017578125,446.4416809082031,2378.0,,329.5,84.98391723632812,15.100761413574219,368.0,273.76361083984375
2017-06-22,23.717931747436523,69.04903411865234,51.04999923706055,79.13307189941406,13.230090141296387,446.578857421875,1923.7413330078125,55.54999923706055,207.60000610351562,79.7233657836914,80.82233428955078,243.60726928710938,445.4881591796875,2363.0,,325.70001220703125,84.84156799316406,15.119949340820312,370.8999938964844,271.58636474609375
2017-06-23,23.708280563354492,68.39937591552734,50.900001525878906,78.93719482421875,13.151280403137207,447.26171875,1903.3070068359375,55.95000076293945,208.60000610351562,79.57797241210938,80.72588348388672,243.60726928710938,446.6323547363281,2364.0,,323.8999938964844,84.74666595458984,14.976040840148926,369.1000061035156,269.4091491699219
2017-06-26,23.766176223754883,68.53858947753906,51.349998474121094,78.790283203125,13.289196014404297,445.7984924316406,1894.5494384765625,56.25,208.1999969482422,83.01892852783203,80.4365463256836,242.54725646972656,447.49053955078125,2375.0,,323.8999938964844,84.84156799316406,15.071980476379395,367.5,269.2198181152344
2017-06-27,23.54424285888672,68.39937591552734,51.650001525878906,78.54544067382812,13.53547477722168,442.6769104003906,1878.98046875,56.400001525878906,207.60000610351562,81.71039581298828,79.85787200927734,242.83636474609375,443.390380859375,2355.0,,322.70001220703125,84.27216339111328,15.350202560424805,362.0,266.6639404296875
2017-06-28,23.22581672668457,68.26016998291016,51.650001525878906,78.34957122802734,13.614283561706543,441.4087829589844,1875.0882568359375,56.349998474121094,207.5,82.77660369873047,79.08629608154297,242.06544494628906,443.2950134277344,2342.0,,325.29998779296875,84.034912109375,15.628425598144531,360.0,263.1614074707031
2017-06-29,22.80124855041504,67.61050415039062,51.29999923706055,76.97845458984375,13.890116691589355,435.068115234375,1861.4654541015625,55.0,204.6999969482422,81.08036041259766,77.59136962890625,237.9217987060547,442.34149169921875,2310.0,,323.29998779296875,83.32315063476562,15.695582389831543,353.3999938964844,261.5521545410156
2017-06-30,22.849496841430664,67.65692138671875,50.45000076293945,77.37020111083984,13.653688430786133,436.23870849609375,1866.3306884765625,54.900001525878906,207.3000030517578,80.88650512695312,76.96446990966797,235.3199920654297,441.197265625,2322.0,,323.6000061035156,83.18079376220703,15.580455780029297,354.1000061035156,264.20269775390625
2017-07-03,23.119674682617188,68.2137680053711,51.849998474121094,77.95782470703125,14.096990585327148,439.945556640625,1865.357666015625,56.400001525878906,213.10000610351562,81.12882232666016,77.73603820800781,237.4399871826172,447.2044982910156,2326.0,,332.6000061035156,84.60431671142578,16.10811996459961,356.79998779296875,269.5038146972656
2017-07-04,22.888092041015625,67.5177001953125,51.75,77.61504364013672,14.225054740905762,437.0190734863281,1869.2498779296875,56.20000076293945,212.60000610351562,80.49879455566406,77.49491882324219,236.47634887695312,446.6323547363281,2320.0,,335.5,84.84156799316406,16.0313663482666,351.0,269.4091491699219
2017-07-05,23.0521297454834,67.65692138671875,52.20000076293945,77.51710510253906,14.244757652282715,437.7019348144531,1876.061279296875,56.20000076293945,214.5,79.86875915527344,77.30203247070312,235.6090850830078,444.916015625,2316.0,,335.29998779296875,85.03136444091797,16.0313663482666,355.0,270.5450744628906
